time,symbol,fundingRate,exchange
2023-02-14 16:00:00.016,SOLUSDT,1.781e-05,Binance
2023-02-15 00:00:00.000,SOLUSDT,-2.167e-05,Bybit
2023-02-15 00:00:00.011,SOLUSDT,9.858e-05,Binance
2023-02-15 08:00:00.000,SOLUSDT,8.397e-05,Binance
2023-02-15 08:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-15 16:00:00.000,SOLUSDT,9.833e-05,Bybit
2023-02-15 16:00:00.005,SOLUSDT,-7.224e-05,Binance
2023-02-16 00:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-16 00:00:00.019,SOLUSDT,0.0001,Binance
2023-02-16 08:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-16 08:00:00.000,SOLUSDT,0.0001,Binance
2023-02-16 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-16 16:00:00.001,SOLUSDT,0.0001,Binance
2023-02-17 00:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-17 00:00:00.003,SOLUSDT,0.0001,Binance
2023-02-17 08:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-17 08:00:00.016,SOLUSDT,0.0001,Binance
2023-02-17 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-17 16:00:00.000,SOLUSDT,0.0001,Binance
2023-02-18 00:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-18 00:00:00.011,SOLUSDT,0.0001,Binance
2023-02-18 08:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-18 08:00:00.000,SOLUSDT,0.0001,Binance
2023-02-18 16:00:00.000,SOLUSDT,0.00012525,Bybit
2023-02-18 16:00:00.007,SOLUSDT,0.0001,Binance
2023-02-19 00:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-19 00:00:00.019,SOLUSDT,0.0001,Binance
2023-02-19 08:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-19 08:00:00.005,SOLUSDT,0.0001,Binance
2023-02-19 16:00:00.000,SOLUSDT,0.00024022,Bybit
2023-02-19 16:00:00.003,SOLUSDT,0.00014645,Binance
2023-02-20 00:00:00.000,SOLUSDT,0.00030535,Bybit
2023-02-20 00:00:00.006,SOLUSDT,0.00017117,Binance
2023-02-20 08:00:00.000,SOLUSDT,0.00015517,Bybit
2023-02-20 08:00:00.008,SOLUSDT,0.00019193,Binance
2023-02-20 16:00:00.000,SOLUSDT,0.00025646,Bybit
2023-02-20 16:00:00.006,SOLUSDT,0.0001276,Binance
2023-02-21 00:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-21 00:00:00.001,SOLUSDT,0.0001,Binance
2023-02-21 08:00:00.000,SOLUSDT,0.00016212,Bybit
2023-02-21 08:00:00.004,SOLUSDT,0.00016004,Binance
2023-02-21 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-21 16:00:00.011,SOLUSDT,0.0001,Binance
2023-02-22 00:00:00.000,SOLUSDT,0.00015668,Bybit
2023-02-22 00:00:00.009,SOLUSDT,0.0001,Binance
2023-02-22 08:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-22 08:00:00.010,SOLUSDT,0.0001,Binance
2023-02-22 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-22 16:00:00.000,SOLUSDT,0.0001,Binance
